Effective Java, 250, COMPUTING, 2001, Joshua Block
Design Patterns, 290, COMPUTING, 1995, Gamma et al
Refactoring, 220, COMPUTING, 2000, Martin Fowler
Clean Code, 350, COMPUTING, 2000, Robert Martin
Mastering Lambdas, 250, COMPUTING, 2016, Maurice Nftalin
Hichhiker's Guide to the Galaxy, 250, SCI_FI, 2000, Doughlas Adams
Dune, 250, SCI_FI, 2000, Frank Herbert
Rama, 250, SCI_FI, 2000, Aruther C. Clarke
Quantitative Finanace, 250, FINANCE, 2000, Paul Wilmott
One Hundred Years of Solitude, 449, NOVEL, 1985, Gabriel Garcia Marquz
